100
True
0
number of parameters: 0.10M
num decayed parameter tensors: 35, with 101,696 parameters
num non-decayed parameter tensors: 22, with 581 parameters
using fused AdamW: True
Epoch [7272], Train Loss: 0.0425, Val Loss: 0.0489, LR: 0.000500
Epoch [7273], Train Loss: 0.0474, Val Loss: 0.0426, LR: 0.000500
Epoch [7274], Train Loss: 0.0510, Val Loss: 0.0605, LR: 0.000500
Epoch [7275], Train Loss: 0.0613, Val Loss: 0.0490, LR: 0.000500
Epoch [7276], Train Loss: 0.0440, Val Loss: 0.0365, LR: 0.000500
Epoch [7277], Train Loss: 0.0454, Val Loss: 0.0479, LR: 0.000500
Epoch [7278], Train Loss: 0.0374, Val Loss: 0.0374, LR: 0.000500
Epoch [7279], Train Loss: 0.0381, Val Loss: 0.0620, LR: 0.000500
Epoch [7280], Train Loss: 0.0872, Val Loss: 0.0543, LR: 0.000500
Epoch [7281], Train Loss: 0.0476, Val Loss: 0.0882, LR: 0.000500
Epoch [7282], Train Loss: 0.0863, Val Loss: 0.0503, LR: 0.000500
Epoch [7283], Train Loss: 0.0517, Val Loss: 0.0683, LR: 0.000500
Epoch [7284], Train Loss: 0.0558, Val Loss: 0.0651, LR: 0.000500
Epoch [7285], Train Loss: 0.0704, Val Loss: 0.0410, LR: 0.000500
Epoch [7286], Train Loss: 0.0255, Val Loss: 0.0997, LR: 0.000500
Epoch [7287], Train Loss: 0.0994, Val Loss: 0.0261, LR: 0.000500
Epoch [7288], Train Loss: 0.0367, Val Loss: 0.0353, LR: 0.000500
Epoch [7289], Train Loss: 0.0525, Val Loss: 0.0733, LR: 0.000500
Epoch [7290], Train Loss: 0.0759, Val Loss: 0.0424, LR: 0.000500
Epoch [7291], Train Loss: 0.0243, Val Loss: 0.0340, LR: 0.000500
Epoch [7292], Train Loss: 0.0339, Val Loss: 0.0634, LR: 0.000500
Epoch [7293], Train Loss: 0.0530, Val Loss: 0.0368, LR: 0.000500
Epoch [7294], Train Loss: 0.0506, Val Loss: 0.0319, LR: 0.000500
Epoch [7295], Train Loss: 0.0337, Val Loss: 0.0275, LR: 0.000500
Epoch [7296], Train Loss: 0.0456, Val Loss: 0.0336, LR: 0.000500
Epoch [7297], Train Loss: 0.0374, Val Loss: 0.0345, LR: 0.000500
Epoch [7298], Train Loss: 0.0463, Val Loss: 0.0533, LR: 0.000500
Epoch [7299], Train Loss: 0.0469, Val Loss: 0.0242, LR: 0.000500
Epoch [7300], Train Loss: 0.0223, Val Loss: 0.0370, LR: 0.000500
Epoch [7301], Train Loss: 0.0228, Val Loss: 0.0335, LR: 0.000500
Epoch [7302], Train Loss: 0.0409, Val Loss: 0.0316, LR: 0.000500
Epoch [7303], Train Loss: 0.0397, Val Loss: 0.0326, LR: 0.000500
Epoch [7304], Train Loss: 0.0508, Val Loss: 0.0289, LR: 0.000500
Epoch [7305], Train Loss: 0.0236, Val Loss: 0.0289, LR: 0.000500
Epoch [7306], Train Loss: 0.0208, Val Loss: 0.0269, LR: 0.000500
Epoch [7307], Train Loss: 0.0322, Val Loss: 0.0212, LR: 0.000500
Epoch [7308], Train Loss: 0.0299, Val Loss: 0.0308, LR: 0.000500
Epoch [7309], Train Loss: 0.0171, Val Loss: 0.0278, LR: 0.000500
Epoch [7310], Train Loss: 0.0278, Val Loss: 0.0378, LR: 0.000500
Epoch [7311], Train Loss: 0.0262, Val Loss: 0.0186, LR: 0.000500
Epoch [7312], Train Loss: 0.0144, Val Loss: 0.0966, LR: 0.000500
Epoch [7313], Train Loss: 0.0714, Val Loss: 0.0244, LR: 0.000500
Epoch [7314], Train Loss: 0.0344, Val Loss: 0.0113, LR: 0.000500
Epoch [7315], Train Loss: 0.0171, Val Loss: 0.0414, LR: 0.000500
Epoch [7316], Train Loss: 0.0239, Val Loss: 0.0297, LR: 0.000500
Epoch [7317], Train Loss: 0.0239, Val Loss: 0.0260, LR: 0.000500
Epoch [7318], Train Loss: 0.0142, Val Loss: 0.0187, LR: 0.000500
Epoch [7319], Train Loss: 0.0479, Val Loss: 0.0210, LR: 0.000500
Epoch [7320], Train Loss: 0.0221, Val Loss: 0.0287, LR: 0.000500
Epoch [7321], Train Loss: 0.0329, Val Loss: 0.0123, LR: 0.000500
Epoch [7322], Train Loss: 0.0216, Val Loss: 0.0141, LR: 0.000500
Epoch [7323], Train Loss: 0.0131, Val Loss: 0.0174, LR: 0.000500
Epoch [7324], Train Loss: 0.0300, Val Loss: 0.0099, LR: 0.000500
Epoch [7325], Train Loss: 0.0165, Val Loss: 0.0251, LR: 0.000500
Epoch [7326], Train Loss: 0.0096, Val Loss: 0.0231, LR: 0.000500
Epoch [7327], Train Loss: 0.0149, Val Loss: 0.0294, LR: 0.000500
Epoch [7328], Train Loss: 0.0230, Val Loss: 0.0345, LR: 0.000500
Epoch [7329], Train Loss: 0.0153, Val Loss: 0.0111, LR: 0.000500
Epoch [7330], Train Loss: 0.0116, Val Loss: 0.0287, LR: 0.000500
Epoch [7331], Train Loss: 0.0203, Val Loss: 0.0111, LR: 0.000500
Epoch [7332], Train Loss: 0.0118, Val Loss: 0.0640, LR: 0.000500
Epoch [7333], Train Loss: 0.0406, Val Loss: 0.0213, LR: 0.000500
Epoch [7334], Train Loss: 0.0636, Val Loss: 0.0244, LR: 0.000500
Epoch [7335], Train Loss: 0.0237, Val Loss: 0.0321, LR: 0.000500
Epoch [7336], Train Loss: 0.0241, Val Loss: 0.0539, LR: 0.000500
Epoch [7337], Train Loss: 0.0440, Val Loss: 0.0511, LR: 0.000500
Epoch [7338], Train Loss: 0.0240, Val Loss: 0.0986, LR: 0.000500
Epoch [7339], Train Loss: 0.0838, Val Loss: 0.0515, LR: 0.000500
Epoch [7340], Train Loss: 0.0255, Val Loss: 0.0308, LR: 0.000500
Epoch [7341], Train Loss: 0.0449, Val Loss: 0.0346, LR: 0.000500
Epoch [7342], Train Loss: 0.0590, Val Loss: 0.0379, LR: 0.000500
Epoch [7343], Train Loss: 0.0296, Val Loss: 0.0468, LR: 0.000500
Epoch [7344], Train Loss: 0.0328, Val Loss: 0.0237, LR: 0.000500
Epoch [7345], Train Loss: 0.0349, Val Loss: 0.0238, LR: 0.000500
Epoch [7346], Train Loss: 0.0419, Val Loss: 0.0196, LR: 0.000500
Epoch [7347], Train Loss: 0.0241, Val Loss: 0.0135, LR: 0.000500
Epoch [7348], Train Loss: 0.0155, Val Loss: 0.0243, LR: 0.000500
Epoch [7349], Train Loss: 0.0255, Val Loss: 0.0140, LR: 0.000500
Epoch [7350], Train Loss: 0.0246, Val Loss: 0.0232, LR: 0.000500
Epoch [7351], Train Loss: 0.0262, Val Loss: 0.0130, LR: 0.000500
Epoch [7352], Train Loss: 0.0178, Val Loss: 0.0097, LR: 0.000500
Epoch [7353], Train Loss: 0.0175, Val Loss: 0.0338, LR: 0.000500
Epoch [7354], Train Loss: 0.0241, Val Loss: 0.0436, LR: 0.000500
Epoch [7355], Train Loss: 0.0110, Val Loss: 0.0078, LR: 0.000500
Epoch [7356], Train Loss: 0.0091, Val Loss: 0.0175, LR: 0.000500
Epoch [7357], Train Loss: 0.0175, Val Loss: 0.0098, LR: 0.000500
Epoch [7358], Train Loss: 0.0106, Val Loss: 0.0156, LR: 0.000500
Epoch [7359], Train Loss: 0.0301, Val Loss: 0.0162, LR: 0.000500
Epoch [7360], Train Loss: 0.0084, Val Loss: 0.0578, LR: 0.000500
Epoch [7361], Train Loss: 0.0213, Val Loss: 0.0483, LR: 0.000500
Epoch [7362], Train Loss: 0.0130, Val Loss: 0.0317, LR: 0.000500
Epoch [7363], Train Loss: 0.0271, Val Loss: 0.0237, LR: 0.000500
Epoch [7364], Train Loss: 0.0685, Val Loss: 0.0141, LR: 0.000500
Epoch [7365], Train Loss: 0.0637, Val Loss: 0.0162, LR: 0.000500
Epoch [7366], Train Loss: 0.0226, Val Loss: 0.0202, LR: 0.000500
Epoch [7367], Train Loss: 0.0192, Val Loss: 0.0145, LR: 0.000500
Epoch [7368], Train Loss: 0.0566, Val Loss: 0.0658, LR: 0.000500
Epoch [7369], Train Loss: 0.0078, Val Loss: 0.0084, LR: 0.000500
Epoch [7370], Train Loss: 0.0084, Val Loss: 0.0374, LR: 0.000500
Epoch [7371], Train Loss: 0.0424, Val Loss: 0.0228, LR: 0.000500
Epoch [7372], Train Loss: 0.0193, Val Loss: 0.0081, LR: 0.000500
Epoch [7373], Train Loss: 0.0164, Val Loss: 0.0050, LR: 0.000500
Epoch [7374], Train Loss: 0.0093, Val Loss: 0.0160, LR: 0.000500
Epoch [7375], Train Loss: 0.0071, Val Loss: 0.0477, LR: 0.000500
Epoch [7376], Train Loss: 0.0582, Val Loss: 0.0210, LR: 0.000500
Epoch [7377], Train Loss: 0.0149, Val Loss: 0.0181, LR: 0.000500
Epoch [7378], Train Loss: 0.0059, Val Loss: 0.0541, LR: 0.000500
Epoch [7379], Train Loss: 0.1092, Val Loss: 0.0064, LR: 0.000500
Epoch [7380], Train Loss: 0.0250, Val Loss: 0.0232, LR: 0.000500
Epoch [7381], Train Loss: 0.0211, Val Loss: 0.0070, LR: 0.000500
Epoch [7382], Train Loss: 0.0079, Val Loss: 0.0161, LR: 0.000500
Epoch [7383], Train Loss: 0.0169, Val Loss: 0.0050, LR: 0.000500
Epoch [7384], Train Loss: 0.0063, Val Loss: 0.0067, LR: 0.000500
Epoch [7385], Train Loss: 0.0145, Val Loss: 0.0287, LR: 0.000500
Epoch [7386], Train Loss: 0.0349, Val Loss: 0.0403, LR: 0.000500
Epoch [7387], Train Loss: 0.0157, Val Loss: 0.0229, LR: 0.000500
Epoch [7388], Train Loss: 0.0406, Val Loss: 0.0220, LR: 0.000500
